月份,姓名,邮箱,领域,部门,职位,入职日期,应出勤时数,实际出勤时数,基本工资,绩效工资,工资总计,全勤奖,加班补助,应补项,其它,应发合计,迟到与早退扣款,养老保险代扣代缴,医疗保险代扣代缴,失业保险代扣代缴,住房公积金代扣代缴,个人所得税代扣代缴,其它,应扣合计,实发工资
4月,路人甲1,chenghuajie@ltbl.cn,广告中心,XX部门,牛X职位,2014/4/24,168,168,4000,2400,7500,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,7454
4月,路人甲2,649781645@qq.com,广告中心,XX部门,牛X职位,2014/4/24,168,168,3500,2400,7455,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,4477
4月,路人甲3,huangkai@ltbl.cn,广告中心,XX部门,牛X职位,2014/4/24,168,168,3000,2400,7410,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,1500
4月,路人甲4,fenglong@ltbl.cn,广告中心,XX部门,牛X职位,2014/4/24,168,168,2500,2400,7365,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,-1477
4月,路人甲5,xiaoxiaocun@ltbl.cn,广告中心,XX部门,牛X职位,2014/4/24,168,168,2000,2400,7320,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,-4454
4月,路人甲6,yaoweiwei@ltbl.cn,广告中心,XX部门,牛X职位,2014/4/24,168,168,1500,2400,7275,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,-7431
4月,路人甲7,13512441244@ltbl.cn,广告中心,XX部门,牛X职位,2014/4/24,168,168,1000,2400,7230,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,-10408
4月,路人甲8,879050159@qq.com,广告中心,XX部门,牛X职位,2014/4/24,168,168,500,2400,7185,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,-13385
4月,路人甲9,18696067163@qq.com,广告中心,XX部门,牛X职位,2014/4/24,168,168,0,2400,7140,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,-16362
4月,路人甲10,18696067163@163.com,广告中心,XX部门,牛X职位,2014/4/24,168,168,-500,2400,7095,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,-19339
4月,路人甲11,406284813@qq.com,广告中心,XX部门,牛X职位,2014/4/24,168,168,-1000,2400,7050,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,-22316
4月,路人甲12,lantian19890103@126.com,广告中心,XX部门,牛X职位,2014/4/24,168,168,-1500,2400,7005,100,—,—,—,8100,—,162.4,72.64,10.15,90.4,321.44,—,657.03,-25293
